"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Newell Brands Inc","1.37","EQUITY","NWL","Large Core","2006-09-30","3864856","-4378","Consumer Defensive","207233579","50.69","-1.87|-3.56%","51.77-50.15","8935741","55.45-43.43","United States","11.06","-3.36","16.86","25.97","24488.34","USD","-","14.47","21.03","-","-","-"
"Western Digital Corp","1.37","EQUITY","WDC","Large Value","2010-06-30","2329949","18768","Technology","206433481","81.17","-3.34|-3.95%","84.82-79.66","10704292","95.77-43.09","United States","-8.41","87.74","-5.21","16.82","23640.14","USD","3","20.93","-","-","-","-"
"M&T Bank Corp","1.19","EQUITY","MTB","Large Core","2013-06-30","1107933","-6385","Financial Services","179429749","163.58","-0.21|-0.13%","165.21-163.12","678962","173.72-112.25","United States","3.29","46.07","12.73","15.24","25169.05","USD","2","5.53","20.02","-","-","-"
"KeyCorp","1.09","EQUITY","KEY","Mid Value","2009-06-30","8769440","94077","Financial Services","164339306","18.4","0.37|2.05%","18.7-18.22","14673571","19.53-11.89","United States","-2.14","59.12","13.47","19.12","20106.4","USD","3","1.7","21.65","-","-","-"
"WEC Energy Group Inc","1.03","EQUITY","WEC","Mid Value","2006-09-30","2524478","-2276","Utilities","154952460","64.09","-0.02|-0.03%","64.15-63.52","1128982","64.37-53.66","United States","5.45","3.56","16.81","12.36","20225.3","USD","2","11.05","21.43","-","-","-"
"The Hartford Financial Services Group Inc","1.02","EQUITY","HIG","Mid Value","2013-06-30","2939070","-87644","Financial Services","154506910","56.29","0.45|0.81%","56.57-56.01","1498119","56.57-39.68","United States","14.51","42.12","19.61","28.72","20506.45","USD","-","19.1","30.76","-","-","-"
"Eversource Energy","1.02","EQUITY","ES","Mid Value","2013-06-30","2534935","-7807","Utilities","153895904","61.58","-0.3|-0.48%","61.83-61.13","1175032","63.34-50.56","United States","4.31","10.07","15.63","11.99","19513.83","USD","2","13.22","20.46","-","-","-"
"DTE Energy Co","1.01","EQUITY","DTE","Mid Value","2006-09-30","1434937","-10631","Utilities","151801985","108.94","0.07|0.06%","108.99-108.17","797721","111.35-89.66","United States","5.35","15.75","17.03","14.81","19543.14","USD","2","12.26","18.72","-","-","-"
"Royal Caribbean Cruises Ltd","1","EQUITY","RCL","Large Core","2006-09-30","1376509","-1732","Consumer Cyclical","150356078","119.69","-0.23|-0.19%","120.96-119.36","1529210","120.96-65.1","United States","11.35","65.91","26.52","37.77","25746.63","USD","3","47.06","16.81","-","-","-"
"Willis Towers Watson PLC","0.99","EQUITY","WLTW","Mid Growth","2010-03-31","1027481","-13920","Financial Services","149457386","149.64","2.4|1.63%","149.85-146.98","562331","151.02-112.76","United States","5.5","22.22","13.95","11.48","20236.19","USD","3","23.24","39.48","-","-","-"
"Principal Financial Group Inc","0.98","EQUITY","PFG","Mid Value","2012-06-30","2305858","-5858","Financial Services","147736322","67.04","0.49|0.74%","67.19-66.62","769764","67.73-46.36","United States","4.76","49.93","13.11","23.08","19371.92","USD","-","17.44","15.24","-","-","-"
"Citizens Financial Group Inc","0.96","EQUITY","CFG","Mid Core","2015-06-30","4052640","-58221","Financial Services","144598195","35.62","0.4|1.14%","36.3-35.53","3751280","39.75-22.86","United States","-4.12","60.11","-","-","18019.48","USD","-","1.26","15.22","-","-","-"
"Regions Financial Corp","0.93","EQUITY","RF","Mid Value","2009-03-31","9617340","-256981","Financial Services","140797858","14.94","0.04|0.27%","15.28-14.81","32547272","16.03-9.14","United States","5.19","68.2","16.36","18.01","17913.06","USD","2","4.98","16.6","-","-","-"
"Newmont Mining Corp","0.92","EQUITY","NEM","Mid Core","2014-11-30","4265876","8253","Basic Materials","138171724","36.15","-0.44|-1.2%","36.55-35.9","4072469","46.07-30.19","United States","12.14","-19.12","12.53","-2.87","19277.77","USD","3","6.4","100.92","-","-","-"
"Symantec Corp","0.91","EQUITY","SYMC","Mid Core","2016-03-31","4865724","-103293","Technology","137456703","29.17","-1.1|-3.63%","30.48-29.12","10692839","33.22-21.5","United States","-9.23","40.13","13.66","16.04","17822.6","USD","2","22.73","-","-","-","-"
"Clorox Co","0.91","EQUITY","CLX","Mid Core","2012-12-31","1030400","943","Consumer Defensive","137290496","134.49","-0.24|-0.18%","134.94-133.78","750794","141.76-111.24","United States","2.24","2.85","18.52","15.79","17322.08","USD","2","14.09","26.53","-","-","-"
"Rockwell Collins Inc","0.9","EQUITY","COL","Mid Growth","2012-12-31","1299208","-2211","Industrials","136520777","119","0.56|0.47%","121.73-118.26","5408390","121.73-78.54","United States","15.36","42.22","18.76","19.78","19334.63","USD","2","29","23.52","-","-","-"
"Dr Pepper Snapple Group Inc","0.89","EQUITY","DPS","Mid Core","2013-10-31","1470536","4888","Consumer Defensive","133980535","90.66","-0.2|-0.22%","91.14-89.87","1257604","99.47-81.05","United States","0.03","-4.43","17.85","16.94","16475.16","USD","3","1.27","21.74","-","-","-"
"Laboratory Corp of America Holdings","0.84","EQUITY","LH","Mid Core","2013-06-30","818423","-7782","Healthcare","126151721","158.65","-1.91|-1.19%","161.15-158.05","631861","164.22-119.51","United States","12.6","13.25","15.08","12.65","16150.57","USD","3","23.58","22.22","-","-","-"
"Freeport-McMoRan Inc","0.83","EQUITY","FCX","Mid Core","2015-09-30","10417107","25984","Basic Materials","125109455","14.41","0.04|0.28%","14.65-14.35","14822640","17.06-9.24","United States","23.37","16.96","-25.67","-10.92","20848.57","USD","2","9.25","28.25","-","-","-"
"Conagra Brands Inc","0.81","EQUITY","CAG","Mid Value","2013-06-30","3403960","-86627","Consumer Defensive","121725610","33.98","-0.33|-0.96%","34.42-33.93","4603139","41.68-32.93","United States","-9.3","3.36","18.04","16.35","14155.95","USD","2","-12.53","27.18","-","-","-"
"Quest Diagnostics Inc","0.81","EQUITY","DGX","Mid Core","2012-06-30","1094635","-10888","Healthcare","121679627","106.97","-0.59|-0.55%","107.82-106.36","618593","112.96-79.12","United States","0.19","26.71","22.1","13.99","14591.3","USD","3","17.87","21.57","-","-","-"
"Lincoln National Corp","0.8","EQUITY","LNC","Mid Value","2009-06-30","1794299","-14238","Financial Services","121258726","74.25","1.08|1.48%","74.94-73.64","1250790","74.94-43.54","United States","10.74","75.28","14.17","28.81","16652.67","USD","-","13.35","11.34","-","-","-"
"Molson Coors Brewing Co B","0.8","EQUITY","TAP","Mid Core","2012-12-31","1402199","1282","Consumer Defensive","121065862","90.51","-0.36|-0.4%","91.34-90.12","1209019","112.19-85.34","United States","-0.88","-7.76","11.98","18.42","19487.07","USD","3","-6.15","8.97","-","-","-"
"Best Buy Co Inc","0.79","EQUITY","BBY","Mid Value","2012-12-31","2090782","-51650","Consumer Cyclical","119864532","60.28","0.59|0.99%","60.46-59.79","2006892","61.95-32.2","United States","19.17","83.92","29.39","30.08","18383.13","USD","2","42.86","16.52","-","-","-"
"Ball Corp","0.79","EQUITY","BLL","Mid Core","2013-06-30","2809311","9313","Consumer Cyclical","118581017","40.56","-0.05|-0.12%","40.81-40.13","2918937","43.06-35.65","United States","1.03","4.08","10.13","15.29","14242.88","USD","2","8.5","27.88","-","-","-"
"Huntington Bancshares Inc","0.78","EQUITY","HBAN","Mid Value","2006-09-30","8698042","-10190","Financial Services","117597528","13.3","0.14|1.06%","13.49-13.23","9120948","14.74-9.38","United States","2.53","45.56","13.33","18.03","14497.22","USD","3","1.82","18.73","-","-","-"
"Henry Schein Inc","0.77","EQUITY","HSIC","Mid Growth","2013-06-30","634656","-648","Healthcare","116154741","178.71","-0.47|-0.26%","179.91-177.53","444775","186.99-146.23","United States","0.35","9.28","15.24","18.53","14176.97","USD","2","17.8","27.16","-","-","-"
"Invesco Ltd","0.76","EQUITY","IVZ","Mid Core","2016-03-31","3255191","17562","Financial Services","114550171","34.57","0.04|0.12%","34.79-34.42","1987365","36.83-27.46","United States","7.56","23.44","-0.4","11.79","14066.25","USD","3","15.82","15.43","-","-","-"
"Tesoro Corp","0.75","EQUITY","ANDV","Mid Value","2006-09-30","1216925","279317","Energy","113904180","97.93","0.21|0.21%","98.28-97.5","1015326","101.52-72.95","United States","24.78","34.91","19.17","27.05","15663.37","USD","4","13.24","16.38","-","-","-"
"WestRock Co A","0.75","EQUITY","WRK","Mid Value","2015-06-30","2008869","768","Consumer Cyclical","113822518","57.33","0.74|1.31%","58.18-56.79","2080650","60.36-43.23","United States","5.95","34.73","8.72","16.86","14395.5","USD","2","14.5","59.1","-","-","-"
"Motorola Solutions Inc","0.75","EQUITY","MSI","Mid Core","2016-06-30","1307777","-14417","Technology","113436577","90.37","-0.03|-0.03%","93.75-89.63","2085513","93.75-69.81","United States","5.51","31.25","14.06","15.66","14772.68","USD","2","10.16","25.17","-","-","-"
"Whirlpool Corp","0.75","EQUITY","WHR","Mid Value","2006-09-30","591782","-5450","Consumer Cyclical","113397267","177.82","1.91|1.09%","178.14-176.01","742702","202.99-145.91","United States","-2.72","-3.85","9","22.72","12977.21","USD","-","-1.02","17.84","-","-","-"
"American Water Works Co Inc","0.74","EQUITY","AWK","Mid Core","2008-12-31","1425681","-7431","Utilities","111131834","81.08","0.43|0.53%","81.38-80.64","772482","82.89-69.41","United States","7.14","2.61","21.66","18.31","14455.13","USD","2","13.14","30.6","-","-","-"
"Nielsen Holdings PLC","0.73","EQUITY","NLSN","Mid Core","2013-06-30","2858597","-6890","Industrials","110513360","42.37","-0.62|-1.44%","43.3-42.29","2932720","54.99-36.96","United States","7.07","-17.6","-0.77","9.99","15108.18","USD","-","2.55","30.93","-","-","-"
"Entergy Corp","0.73","EQUITY","ETR","Mid Value","2015-12-31","1435840","4725","Utilities","110229437","76.88","0.02|0.03%","76.9-75.97","1068056","81.83-66.71","United States","1.55","0.41","6.32","5.2","13801.5","USD","3","7.01","-","-","-","-"
"Host Hotels & Resorts Inc","0.72","EQUITY","HST","Mid Value","2016-03-31","5918186","-21439","Real Estate","108125258","18.65","0.26|1.41%","18.7-18.37","4053197","20.21-14.69","United States","4.72","12.2","-1.23","7.98","13801.97","USD","3","1.11","23.02","-","-","-"
"Whole Foods Market Inc","0.71","EQUITY","WFM","Mid Core","2015-12-31","2556842","3168","Consumer Defensive","107668617","41.81","-0.03|-0.07%","41.85-41.8","3475249","43.84-27.67","United States","14.48","39.54","4.61","-0.87","13387.96","USD","3","37.42","33.18","-","-","-"
"Coach Inc","0.71","EQUITY","COH","Mid Core","2014-06-30","2249457","-3502","Consumer Cyclical","106489294","47.01","0.86|1.86%","47.16-46.1","2645473","48.85-34.07","United States","11.25","16.81","14.17","0.37","13215.86","USD","3","36.17","25.41","-","-","-"
"Ameren Corp","0.7","EQUITY","AEE","Mid Value","2010-12-31","1941092","-5596","Utilities","106119500","57.5","0.5|0.88%","57.65-56.26","1307037","57.65-46.84","United States","5.71","14.28","17.72","13.88","13951.5","USD","2","11.28","21.54","-","-","-"
"Celanese Corp","0.7","EQUITY","CE","Mid Value","2013-06-30","1115683","-12270","Basic Materials","105922944","97.64","0.81|0.84%","97.93-96.99","637776","99.97-60.59","United States","14.99","55","19.75","21.88","13428.79","USD","2","25.63","16.38","-","-","-"
"CenturyLink Inc","0.69","EQUITY","CTL","Mid Value","2017-03-31","4390774","2192609","Communication Services","104851683","22.47","0.03|0.13%","23.08-22.42","11060836","33.45-21.62","United States","-3.07","-18.58","-9.81","-4.22","12331.81","USD","3","-0.97","22.03","-","-","-"
"JM Smucker Co","0.69","EQUITY","SJM","Mid Value","2008-12-31","884932","-673","Consumer Defensive","104714004","121.47","0.3|0.25%","121.78-121","745219","157.31-114.31","United States","-2.69","-20.31","8.73","12.1","13775.16","USD","4","-3.97","23.82","-","-","-"
"L3 Technologies Inc","0.69","EQUITY","LLL","Mid Value","2017-01-31","623131","61423","Industrials","104112727","176","0.6|0.34%","176.12-174.62","315594","180.73-132.38","United States","5.21","18.86","20.76","21.98","13766.38","USD","3","16.69","19.84","-","-","-"
"Genuine Parts Co","0.69","EQUITY","GPC","Mid Value","2006-09-30","1120661","-14978","Consumer Cyclical","103952514","83.88","-0.23|-0.27%","84.43-83.7","524531","105.18-80.86","United States","-8.34","-14.14","3.25","8.11","12316.18","USD","4","-10.79","18.16","-","-","-"
"CMS Energy Corp","0.69","EQUITY","CMS","Mid Value","2008-06-30","2243378","-1310","Utilities","103756233","47.03","0.01|0.02%","47.08-46.65","2044895","48.37-38.78","United States","4.95","9.06","20.65","16.88","13242.22","USD","2","15.4","23.75","-","-","-"
"Comerica Inc","0.69","EQUITY","CMA","Mid Core","2007-12-31","1415662","677","Financial Services","103683085","73.86","1.02|1.4%","74.77-73.46","1109142","75.72-44.55","United States","3.03","66.87","15.97","20.48","12992.78","USD","2","9.16","18.47","-","-","-"
"Markel Corp","0.69","EQUITY","MKL","Mid Growth","2007-06-30","105976","-713","Financial Services","103417739","1058.22","2.58|0.24%","1059.99-1046.54","27560","1086.68-811.05","United States","9.23","15.14","17.85","19.87","14721.34","USD","2","17","36.59","-","-","-"
"Hologic Inc","0.67","EQUITY","HOLX","Mid Core","2010-06-30","2240068","-1928","Healthcare","101654286","39.25","-0.66|-1.65%","40.01-39.08","5768147","46.8-35.15","United States","-12.98","1.47","14.92","14.98","11008.58","USD","3","-2.17","14.65","-","-","-"
"Dell-VMWare Tracking Stock V","0.67","EQUITY","DVMT","-","2016-09-30","1661552","-128589","Technology","101537443","64.39","0.38|0.59%","64.54-64.06","439028","69.72-42.02","United States","-2.91","-","-","-","13080.22","USD","-","17.14","-","-","-","-"
"Maxim Integrated Products Inc","0.67","EQUITY","MXIM","Mid Value","2014-09-30","2260453","-7731","Technology","101494340","44.71","-0.26|-0.58%","45.39-44.57","2100871","49.7-37.25","United States","-0.75","12.74","17.73","12.82","12632.57","USD","2","17.63","25.7","-","-","-"
"Hasbro Inc","0.67","EQUITY","HAS","Mid Core","2006-09-30","900107","3091","Consumer Cyclical","100370932","103.49","-0.45|-0.43%","104.32-102.84","1000431","116.2-76.14","United States","4.72","31.13","30.07","25.56","12944.64","USD","3","35.16","22.4","-","-","-"
"National Oilwell Varco Inc","0.66","EQUITY","NOV","Mid Value","2016-03-31","3040466","5606","Energy","100152950","33.18","0.56|1.72%","33.21-32.56","2567195","43.63-31.02","United States","-0.06","2.52","-23.81","-9.32","12609.68","USD","3","-11.11","-","-","-","-"
"Dover Corp","0.66","EQUITY","DOV","Mid Core","2015-03-31","1245491","-168","Industrials","99913288","86.54","0.08|0.09%","87.23-86.3","2406304","87.46-65.5","United States","12.87","24.1","2.04","14.99","13477.24","USD","3","16.67","21.64","-","-","-"
"D.R. Horton Inc","0.65","EQUITY","DHI","Mid Core","2006-09-30","2854553","12116","Consumer Cyclical","98681897","36.59","0.26|0.72%","36.76-36.38","2346601","37.44-26.69","United States","12.55","15.03","22.17","16.87","13695.02","USD","3","34.61","13.7","-","-","-"
"Annaly Capital Management Inc","0.65","EQUITY","NLY","Mid Value","2013-12-31","8152869","-26260","Real Estate","98242071","12.01","-0.14|-1.15%","12.15-11.98","6385983","12.73-9.83","United States","7.32","19.55","11.67","1.58","13067.21","USD","-","26.48","4.35","-","-","-"
"Delphi Automotive PLC","0.62","EQUITY","DLPH","Large Core","2013-06-30","1071498","-9472","Consumer Cyclical","93916800","93.19","0.33|0.36%","93.44-92.49","1441610","93.62-60.5","United States","6.15","48.61","12.45","28.07","24867.21","USD","2","39.23","19.7","-","-","-"
"Albemarle Corp","0.62","EQUITY","ALB","Mid Growth","2013-12-31","886058","-14653","Basic Materials","93514561","119.6","0.8|0.67%","119.99-118.75","1077406","119.99-75.11","United States","10.31","47.16","25.73","16.4","13245.97","USD","3","39.68","48.23","-","-","-"
"Fidelity National Financial Inc","0.61","EQUITY","FNF","Mid Core","2013-12-31","2069555","-3703","Financial Services","92778151","48.33","0.09|0.19%","48.35-47.99","649647","49.37-31.64","United States","17.8","34.27","22.15","25.04","14306.1","USD","-","43.79","21.14","-","-","-"
"Seagate Technology PLC","0.61","EQUITY","STX","Large Value","2009-06-30","2373067","4265","Technology","91956346","33.43","-0.14|-0.42%","34.03-33.36","6767992","50.96-31.3","Singapore","-20.01","15","-11.69","7.05","9761.56","USD","3","-9.12","13.76","-","-","-"
"Arch Capital Group Ltd","0.61","EQUITY","ACGL","Mid Core","2013-06-30","983867","44400","Financial Services","91784952","98.05","0.35|0.36%","98.19-97.33","373967","99.47-73.97","United States","0.88","32.36","21.77","20.19","12812.46","USD","-","13.63","16.7","-","-","-"
"XL Group Ltd","0.61","EQUITY","XL","Mid Value","2016-07-31","2091712","-34391","Financial Services","91616986","44.27","-0.03|-0.07%","44.56-44.09","1317810","47.27-32.81","United States","4.68","33.42","12.87","17.58","11443.33","USD","-","19.99","21.49","-","-","-"
"Textron Inc","0.6","EQUITY","TXT","Mid Core","2013-06-30","1927655","-23433","Industrials","90792551","49.31","0.27|0.55%","49.34-49.03","808450","50.93-37.19","United States","6.66","28.05","10.99","13.44","13053.03","USD","3","1.63","17.49","-","-","-"
"Cincinnati Financial Corp","0.6","EQUITY","CINF","Mid Core","2006-09-30","1251978","-2733","Financial Services","90705806","80.3","-0.22|-0.27%","81.14-80","549473","81.98-68.11","United States","13.87","9.58","22.96","18.61","13167.79","USD","-","7.33","23.01","-","-","-"
"Darden Restaurants Inc","0.6","EQUITY","DRI","Mid Core","2007-06-30","994789","-3896","Consumer Cyclical","89968717","83.15","1.07|1.3%","83.32-81.63","1238064","95.22-60.16","United States","-4.07","39.98","26.31","13.93","10428.52","USD","3","16.75","21.71","-","-","-"
"CenterPoint Energy Inc","0.59","EQUITY","CNP","Mid Value","2006-09-30","3275325","-16367","Utilities","89678399","28.54","0.07|0.25%","28.61-28.28","2701124","29.08-21.83","United States","2.96","25.38","8.89","9.48","12301.44","USD","3","18","20.39","-","-","-"
"Eastman Chemical Co","0.58","EQUITY","EMN","Mid Value","2014-09-30","1050065","-62669","Basic Materials","88194959","84.07","0.15|0.18%","84.96-83.87","1366200","86.6-62.7","United States","8.28","32.85","4.12","11.57","12259.68","USD","2","13.14","14.13","-","-","-"
"ONEOK Inc","0.58","EQUITY","OKE","Large Core","2006-09-30","1687780","-1596","Energy","88034605","53.53","-0.32|-0.59%","54.39-53.45","2804981","59.47-44.27","United States","10","24.71","-1.91","10.87","20341.84","USD","2","-3.32","33.46","-","-","-"
"Wynn Resorts Ltd","0.58","EQUITY","WYNN","Mid Value","2015-06-30","655141","2250","Consumer Cyclical","87867511","127.51","1.17|0.93%","127.9-125.87","1034676","139.67-82.51","United States","2.97","31.82","-13.69","10.12","13052.42","USD","3","48.55","48.48","-","-","-"
"Synopsys Inc","0.58","EQUITY","SNPS","Mid Growth","2010-06-30","1202282","-7829","Technology","87682426","76.61","0.51|0.67%","76.64-75.82","1125553","77.29-54.69","United States","3.53","40.11","26.38","20.19","11515.3","USD","-","30.16","42.8","-","-","-"
"Universal Health Services Inc Class B","0.58","EQUITY","UHS","Mid Value","2009-12-31","715311","-3035","Healthcare","87325167","108.09","-0.29|-0.27%","108.8-107.73","587468","129.74-99.72","United States","-11.68","-15.02","0.88","22.85","10451.21","USD","-","1.8","14.75","-","-","-"
"Pentair PLC","0.58","EQUITY","PNR","Mid Core","2016-09-30","1312329","2733","Industrials","87322372","63.16","0.31|0.49%","63.44-62.84","994993","69.03-53.8","United States","-2.73","3.67","1.03","9.6","11462.22","USD","3","14.49","30.81","-","-","-"
"NetApp Inc","0.58","EQUITY","NTAP","Mid Value","2015-06-30","2167606","-42946","Technology","86812620","42.74","-0.17|-0.4%","43.11-42.61","1937416","45.24-26.47","United States","7.97","64.5","5.04","7.15","11558.56","USD","2","22.82","23.61","-","-","-"
"Lennar Corp","0.57","EQUITY","LEN","Mid Core","2012-12-31","1624773","-2152","Consumer Cyclical","86632896","54.25","0.38|0.71%","54.4-53.94","992595","55.75-39.68","United States","9.06","18.77","14.47","12.84","12487.53","USD","3","26.65","15.86","-","-","-"
"CA Inc","0.57","EQUITY","CA","Mid Value","2017-03-31","2506814","1250891","Technology","86409879","31.99","0.14|0.44%","32.06-31.72","2237697","36.54-30.01","United States","-2.17","-2.16","6.72","8.35","13307.84","USD","3","2.3","17.77","-","-","-"
"International Flavors & Fragrances Inc","0.57","EQUITY","IFF","Mid Core","2006-09-30","631807","57485","Basic Materials","85293945","134.8","0.47|0.35%","135.01-134.27","354693","143.64-113.16","United States","-2.19","1.18","11.55","21.14","10645.31","USD","4","15.49","26.8","-","-","-"
"Juniper Networks Inc","0.56","EQUITY","JNPR","Mid Value","2013-06-30","3056839","157350","Technology","85224671","28.14","-0.2|-0.71%","28.46-28.02","4398662","30.96-22.4","United States","-7.41","26.56","8.14","10.17","10752.2","USD","3","0.28","17.81","-","-","-"
"Unum Group","0.56","EQUITY","UNM","Mid Value","2006-09-30","1825891","-14990","Financial Services","85141297","50.8","0.62|1.24%","51.1-50.5","884520","51.1-33.25","United States","9.34","56.69","15.67","23.09","11464.68","USD","-","17.07","12.24","-","-","-"
"Advanced Micro Devices Inc","0.56","EQUITY","AMD","Mid Core","2017-03-31","6804191","387689","Technology","84916304","13.12","-0.12|-0.91%","13.36-13.02","64254045","15.65-5.66","United States","29.9","102.78","48.58","26.25","12421.74","USD","2","15.7","-","-","-","-"
"Bunge Ltd","0.56","EQUITY","BG","Mid Value","2006-09-30","1123168","4973","Consumer Defensive","83788333","76.34","0.38|0.5%","76.51-75.66","767275","83.75-58.19","United States","9.99","19.75","0.27","4.92","10733.57","USD","3","6.84","22.26","-","-","-"
"UDR Inc","0.55","EQUITY","UDR","Mid Growth","2006-09-30","2139136","-10558","Real Estate","83362130","38.64","-0.14|-0.36%","39.04-38.61","1162886","40.71-32.79","United States","3.54","8.08","12.98","10.87","10339.03","USD","-","8.43","33.92","-","-","-"
"Raymond James Financial Inc","0.55","EQUITY","RJF","Mid Core","2014-06-30","1037032","-1355","Financial Services","83190707","82.9","0.52|0.63%","83.69-82.59","610633","85.97-54.71","United States","8.78","54.11","18.96","20.8","11939.35","USD","3","20.31","21.7","-","-","-"
"Perrigo Co PLC","0.55","EQUITY","PRGO","Mid Value","2016-09-30","1089856","-1795","Healthcare","82305925","67.43","-0.88|-1.29%","68.44-66.51","1666370","99.14-65.47","United States","-7.56","-26.24","-22.79","-9.64","9669.28","USD","3","-18.6","-","-","-","-"
"Marathon Oil Corp","0.53","EQUITY","MRO","Mid Value","2015-09-30","6800012","7160","Energy","80580142","12.9","0.39|3.12%","12.96-12.45","21773594","19.28-11.2","United States","-8.61","-2.31","-28.56","-10.04","10962.87","USD","3","-24.9","-","-","-","-"
"United Continental Holdings Inc","0.53","EQUITY","UAL","Mid Value","2013-06-30","1069311","50485","Industrials","80465653","68.91","0.72|1.06%","69.31-68.18","3274798","83.04-46.24","United States","-8.01","50.13","14.84","30.42","20964.17","USD","3","-5.45","9.62","-","-","-"
"Aramark","0.53","EQUITY","ARMK","Mid Core","2013-12-31","1953084","-29759","Consumer Cyclical","80037382","39.91","-0.15|-0.37%","40.19-39.88","457760","41.72-32.73","United States","9.78","13.56","14.7","-","9742.6","USD","-","12.31","30.7","-","-","-"
"Xylem Inc","0.53","EQUITY","XYL","Mid Core","2012-06-30","1437892","1411","Industrials","79702354","60.02","0.46|0.77%","60.14-59.35","1361834","60.71-45.6","United States","16.85","29.35","20.54","21.16","10777.7","USD","2","21.93","38.72","-","-","-"
"Duke Realty Corp","0.53","EQUITY","DRE","Mid Core","2016-09-30","2844801","-14426","Real Estate","79512188","28.69","-0.02|-0.07%","28.88-28.57","3070541","29.25-22.97","United States","4.49","4.25","19.49","17.07","10205.95","USD","-","9.45","29.89","-","-","-"
"QVC Group Class A","0.52","EQUITY","QVCA","Mid Core","2016-09-30","3203465","-133974","Consumer Cyclical","78613031","24.32","0.74|3.14%","24.42-23.25","4024612","26-17.24","United States","15.53","-7.53","0.19","8.23","10959.27","USD","-","21.72","24.57","-","-","-"
"FMC Corp","0.52","EQUITY","FMC","Mid Growth","2015-06-30","1072062","-2","Basic Materials","78314129","84.35","1.01|1.21%","84.48-83.07","1097534","85.06-44.4","United States","19.49","75.68","9.58","10.11","11313.73","USD","3","49.72","42.6","-","-","-"
